user_id,username,tip_amount,tip_date
3,liza,5.00,2024-07-13 13:32:49.222038+00:00
3,liza,10.00,2024-07-13 13:36:37.527381+00:00
1,paul,0.00,2024-07-14 13:54:13.080791+00:00
